Microsoft Windows [Version 10.0.19045.2251]
(c) Microsoft Corporation. All rights reserved.

C:\Luaan\CS331>python predict_contours.py
15 75 175 50 750 0.3806354865931193
15 75 190 50 750 0.38224895203783144
15 75 205 50 750 0.3862069519990421
15 75 220 50 750 0.38190174147061645
15 75 235 50 750 0.3764347750061319
15 75 250 50 750 0.37560104521580473
15 80 100 50 750 0.38066155041249183
15 80 115 50 750 0.3809658052717252
15 80 130 50 750 0.38320973755768534
15 80 145 50 750 0.38073578527183705
15 80 160 50 750 0.3791291530746916
15 80 175 50 750 0.37605429912636945
15 80 190 50 750 0.376869705242167
15 80 205 50 750 0.38084330797255544
15 80 220 50 750 0.37919195124701
15 80 235 50 750 0.3751337702882034
15 80 250 50 750 0.37417005697851197
15 85 100 50 750 0.38206495116010536
15 85 115 50 750 0.37856082274626707
15 85 130 50 750 0.3853728433579641
15 85 145 50 750 0.3817901541303088
15 85 160 50 750 0.3787508737601285
15 85 175 50 750 0.37663909934433565
15 85 190 50 750 0.3739872026331026
15 85 205 50 750 0.37862744552492666
15 85 220 50 750 0.3764141571249512
15 85 235 50 750 0.3736345005320098
15 85 250 50 750 0.37298753495706893
15 90 100 50 750 0.3815203752681744
15 90 115 50 750 0.37621885870061894
15 90 130 50 750 0.3804357590100689
15 90 145 50 750 0.37926329490409577
15 90 160 50 750 0.37650204771660956
15 90 175 50 750 0.3722219718857805
15 90 190 50 750 0.3740602291111763
15 90 205 50 750 0.37751780845117305
15 90 220 50 750 0.3728838138792389
15 90 235 50 750 0.37024362213205886
15 90 250 50 750 0.3724341924120985
15 95 100 50 750 0.37779508699187053
15 95 115 50 750 0.3762215920099492
15 95 130 50 750 0.3801356077821037
15 95 145 50 750 0.37887406230335874
15 95 160 50 750 0.3743324870604001
15 95 175 50 750 0.37450765186308665
15 95 190 50 750 0.3727907522444019
15 95 205 50 750 0.37565038876659623
15 95 220 50 750 0.3754694402281392
15 95 235 50 750 0.37043890748559405
